roadid,lat,lon,lat.1,lon.1
3355,28.5564136,77.1281409,28.5486344,77.1191917
3357,28.5597205,77.1284433,28.567049,77.1277844
3358,28.546996,77.1239836,28.5486344,77.1191917
3359,28.5704508,77.1352866,28.5501105,77.1286827
3361,28.5597375,77.1286341,28.5564136,77.1281409
3363,28.5632409,77.1228729,28.5661463,77.1223054
3364,28.5665372,77.1279505,28.5666536,77.1271194
3365,28.567049,77.1277844,28.5632409,77.1228729
3367,28.5678169,77.1308181,28.5670585,77.1283062
3368,28.552348,77.1061726,28.5518515,77.1059323
3369,28.5707395,77.3109135,28.5745261,77.3081182
3370,28.5553738,77.3276339,28.5553738,77.3276339
3373,28.5732939,77.3129006,28.5732665,77.312343
3375,28.5531639,77.0906163,28.5540536,77.0868453
3379,28.5733386,77.1210054,28.5736828,77.1206517
3381,28.5737051,77.121107,28.5745269,77.117611
3383,28.4172172,77.0916692,28.4168265,77.0911047
3384,28.4167746,77.0909046,28.4170928,77.0902439
3385,28.4980266,77.0887205,28.4943979,77.0852392
3387,28.4710162,77.0629626,28.4709835,77.0636654
3390,28.476443,77.0713454,28.4769183,77.0716756
3391,28.4972139,77.0888973,28.497512,77.0884439
3393,28.5186505,77.0806922,28.5184414,77.0808533
3396,28.481651,77.0485714,28.4818291,77.0494162
3397,28.4853528,77.0198977,28.4815621,77.0467555
3399,28.4817146,77.0479639,28.4821932,77.0497143
3400,28.5011282,77.0910934,28.5021058,77.0898008
3402,28.7202716,77.161785,28.7201306,77.1612902
3406,28.7201306,77.1612902,28.7212381,77.1598048
3412,28.4614295,77.3066773,28.4617253,77.3066541
3415,28.4617253,77.3066541,28.4726888,77.3057025
3419,28.4565712,77.3188888,28.4569938,77.3187912
3424,28.4569938,77.3187912,28.4873689,77.3046781
3427,28.474695,77.3051294,28.474822,77.3049113
3428,28.4619711,77.3066349,28.4624026,77.3063922
3429,28.4623283,77.3070103,28.4620294,77.3067616
3435,28.4623596,77.3072842,28.4624693,77.3060126
3469,28.4806393,77.0146684,28.4738319,77.0179387
3472,28.4735427,77.0179718,28.4620477,77.0237817
3473,28.4884448,77.0110826,28.4850141,77.0126465
3477,28.480833,77.0146725,28.4854254,77.0195772
3478,28.4736712,77.0180912,28.4736712,77.0180912
3479,28.4807249,77.0147109,28.4807249,77.0147109
3480,28.4853988,77.0199112,28.4853988,77.0199112
3481,28.4732374,77.0170414,28.4736448,77.0177612
3482,28.4737309,77.0180834,28.4636355,77.0304671
3494,28.4574272,76.9903497,28.4483369,76.9972898
3496,28.5077919,77.0270178,28.5020798,77.028841
3500,28.5099976,77.0420881,28.5099976,77.0420881
3501,28.5104039,77.0418725,28.5110292,77.0424544
3505,28.5094982,77.0411038,28.5100786,77.0415154
3507,28.5200347,77.0475755,28.521202,77.0485188
3509,28.5101298,77.0421301,28.509819,77.0426699
3512,28.5027223,77.0671185,28.5032821,77.0681396
3517,28.5082309,77.0694071,28.5068719,77.0713757
3522,28.5948527,77.0368128,28.5948527,77.0368128
3523,28.5878459,77.0420927,28.5878872,77.0424415
3524,28.6022181,77.0416308,28.602341,77.0426351
3525,28.5930731,77.033921,28.5930646,77.0347184
3526,28.5930428,77.0348486,28.592322,77.0350461
3529,28.6022105,77.0426873,28.6014126,77.0428634
3530,28.5953331,77.0366704,28.6018434,77.0422031
3534,28.5950355,77.0368714,28.5918044,77.0417287
3536,28.5690188,77.0506423,28.5703392,77.0517743
3540,28.5688709,77.0504991,28.5690188,77.0506423
3541,28.5723797,77.0659496,28.5713767,77.0663147
3543,28.5668335,77.0397208,28.5672481,77.0397749
3544,28.5916926,77.0574385,28.5917374,77.0578429
3545,28.5723332,77.0649323,28.5723488,77.0657373
3554,28.5707937,77.052336,28.5700425,77.052434
3559,28.8248247,77.1146508,28.8068882,77.1192316
3562,28.8248722,77.1151424,28.8243046,77.1147815
3563,28.824341,77.1146772,28.8245893,77.1141221
3565,28.8323469,77.1296502,28.8244201,77.1135511
3570,28.841426,77.1277239,28.8355226,77.0923531
3572,28.8617999,77.0958683,28.8387069,77.1029305
3577,28.8256255,77.0919693,28.8256255,77.0919693
3580,28.8330093,77.0841997,28.8257273,77.0917448
3581,28.8170868,77.0960339,28.8151069,77.0862237
3583,28.8330102,77.0843126,28.8161779,77.0915305
3586,28.8255694,77.0919775,28.8170868,77.0960339
3587,28.8105178,77.1362404,28.8036141,77.1042637
3591,28.8216498,77.1157386,28.8173002,77.108724
3592,28.833807,77.0837145,28.8203909,77.0651593
3593,28.8340456,77.0837221,28.833807,77.0837145
3595,28.8203909,77.0647633,28.8340456,77.0837221
3599,28.8749347,77.1467608,28.8749347,77.1466205
3600,28.863459,77.1465359,28.8634614,77.1463785
3602,28.8760784,77.1309709,28.8630949,77.1308658
3603,28.8763709,77.1312723,28.8763709,77.1312723
3605,28.8671237,77.1466073,28.863459,77.1465359
3607,28.8763105,77.1305892,28.8764642,77.1207712
3610,28.8838931,77.1469352,28.8749347,77.1467608
3613,28.8859193,77.131163,28.8766774,77.1309858
3614,28.8760738,77.1467787,28.8763193,77.1312656
3615,28.6791755,77.2293953,28.6812383,77.2227538
3618,28.7039216,77.2378947,28.7059528,77.2276197
3620,28.6814043,77.2230671,28.6810106,77.2229882
3621,28.4483369,76.9972898,28.4569884,77.0158413
3625,28.4646269,77.0342159,28.4645569,77.0343349
3627,28.4459707,77.0319248,28.4482482,77.0383288
3631,28.4566923,77.0270819,28.4578634,77.0275496
3634,28.4582685,77.0324756,28.4582685,77.0324756
3635,28.4591688,77.0344217,28.4591688,77.0344217
3637,28.4573503,77.023565,28.4566476,77.0285613
3639,28.4582162,77.0324753,28.4575486,77.0328095
3640,28.4597214,77.0316682,28.45966,77.0317447
3641,28.4582998,77.0324463,28.4591385,77.0342724
3645,28.4626045,77.0322097,28.4636964,77.0333044
3647,28.4623977,77.0322815,28.4608155,77.0327869
3650,28.4569884,77.0158413,28.4593358,77.0265086
3653,28.4578185,77.0276824,28.445862,77.033778
3659,28.4522981,77.0415128,28.4523485,77.0418829
3661,28.4519242,77.0414754,28.452234,77.0414614
3663,28.5180998,77.0961573,28.5170002,77.0952382
3666,28.5227666,77.0990927,28.5206079,77.0976599
3667,28.5206079,77.0976599,28.5177011,77.0956637
3669,28.5217509,77.0985151,28.5217509,77.0985151
3671,28.526283,77.1014815,28.5254787,77.1011196
3672,28.5216065,77.098503,28.5180998,77.0961573
3673,28.5180998,77.0961573,28.5151935,77.0940437
3679,28.5470706,77.1247316,28.5467497,77.1247401
3681,28.5465744,77.12494,28.5463815,77.1238551
3685,28.5395739,77.1398231,28.5374332,77.1386168
3686,28.5397144,77.1529728,28.5417766,77.148091
3689,28.5436037,77.1591057,28.5437759,77.1584739
3691,28.5574655,77.1735221,28.5621685,77.1684976
3692,28.5554196,77.1764373,28.5593895,77.1710004
3694,28.5554196,77.1764373,28.5574655,77.1735221
3696,28.5621685,77.1684976,28.5651495,77.1667968
3699,28.562213,77.1686758,28.5620674,77.168416
3710,28.5288748,77.170486,28.528201,77.1702498
3711,28.5517555,77.1824108,28.5410961,77.1760678
3713,28.5186211,77.1602224,28.5183831,77.1597324
3714,28.5513316,77.1825568,28.5513106,77.182077
3717,28.528201,77.1702498,28.5221794,77.1680217
3718,28.5410961,77.1760678,28.5288748,77.170486
3722,28.5464767,77.0589504,28.5459427,77.0598024
3729,28.5315072,77.2247369,28.5314316,77.2243965
3730,28.5314316,77.2243965,28.5318459,77.194764
3731,28.5325609,77.2318971,28.5329269,77.231504
3740,28.5412065,77.232819,28.5409578,77.2322051
3743,28.5342659,77.2818751,28.5264589,77.257013
3744,28.5369041,77.2884535,28.5342659,77.2818751
3746,28.52616,77.2734198,28.5328544,77.2689859
3750,28.5357423,77.2859931,28.5385957,77.2832768
3755,28.5292277,77.2719386,28.5285227,77.2718043
3757,28.5355563,77.2843071,28.5378633,77.2836083
3758,28.5284787,77.2717147,28.5287002,77.2707946
3760,28.5349851,77.2849591,28.5350737,77.2841327
3761,28.5324634,77.2867452,28.5349851,77.2849591
3768,28.6057297,77.1255522,28.6058903,77.125139
3770,28.6058903,77.125139,28.6089321,77.1173587
3774,28.6052651,77.1100287,28.6055035,77.1095275
3778,28.4796585,77.0712571,28.4782201,77.0720479
3785,28.5725523,77.258148,28.5769734,77.2547889
3786,28.6409623,77.2053258,28.6427244,77.203209
3787,28.6741193,77.1363615,28.6793249,77.0953309
3793,28.5928616,77.166982,28.5935076,77.1666102
3794,28.5935076,77.1666102,28.5932382,77.1641688
3795,28.5949181,77.1655602,28.5958563,77.1650183
3798,28.5077832,77.1770005,28.546996,77.1239836
3799,28.5277426,77.1891643,28.5077832,77.1770005
